agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Bridgeport Township Police Department,9,Local police department,MI,Saginaw,Bridgeport,48722,26145,6206 Dixie Hwy, 
Bridgeport Borough Police Department,9,Local police department,PA,Montgomery,Bridgeport,19405,42091,4Th & Mill Sts,Po Box 148
Faribault County Sheriff's Office,9,Sheriff's office,MN,Faribault,Blue Earth,56013,27043,125 W 2Nd St, 
Caernarvon Township Police Department,9,Local police department,PA,Berks,Morgantown,19543,42011,3226 Main Street,Po Box 52
Delta County Sheriff's Office,9,Sheriff's office,TX,Delta,Cooper,75432,48119,111 N 3Rd St, 
Fruitport Township Police Department,9,Local police department,MI,Muskegon,Fruitport,49415,26121,5825 Airline Hwy, 
Chadbourn Police Department,9,Local police department,NC,Columbus,Chadbourn,28431,37047,602 North Brown St., 
Dodgeville Police Department,9,Local police department,WI,Iowa,Dodgeville,53533,55049,111 West Merrimac Street, 
Canal Fulton Police Department,9,Local police department,OH,Stark,Canal Fulton,44614,39151,1165 Locust Street, 
Hamilton County Sheriff's Office,9,Sheriff's office,NE,Hamilton,Aurora,68818,31081,Po Box 764,103 West Ave C
Baldwin City Police Department,9,Local police department,KS,Douglas,Baldwin City,66006,20045,Po Box 253, 
Momence Police Dept,9,Local police department,IL,Kankakee,Momence,60954,17091,123 West River, 
Louisville Police Department,9,Local police department,OH,Stark,Louisville,44641,39151,202 South Church Street, 
Jacksboro Police Department,9,Local police department,TX,Jack,Jacksboro,76458,48237,112 W. Belknap St., 
Landrum Police Department,9,Local police department,SC,Spartanburg,Landrum,29356,45083,100 North Shamrock Avenue, 
Ovilla Police Department,9,Local police department,TX,Ellis,Ovilla,75154,48139,105 South Cockrell Hill Road, 
Maggie Valley Police Department,9,Local police department,NC,Haywood,Maggie Valley,28751,37087,61 Summit Drive, 
Bellevue Police Department,9,Local police department,KY,Campbell,Bellevue,41073,21037,450 110Th Ave Ne,PO BOX 90012
New Haven Police Department,9,Local police department,MI,Macomb,New Haven,48048,26099,Post Office Box 217, 
Netcong Borough Police,9,Local police department,NJ,Morris,Netcong,7857,34027,19 Maple Avenue, 
Marseilles Police Dept,9,Local police department,IL,La Salle,Marseilles,61341,17099,209 Lincoln St, 
Winslow Police Department,9,Local police department,ME,Kennebec,Winslow,4901,23011,114 Benton Avenue, 
Westfall Township Police Department,9,Local police department,PA,Pike,Matamoras,18336,42103,10 Avenue I, 
Oakland Police Department,9,Local police department,ME,Kennebec,Oakland,4963,23011,P.O. Box 56, 
Brady Police Department,9,Local police department,TX,McCulloch,Brady,76825,48307,209 South Elm, 
Sharon Hill Borough Police Department,9,Local police department,PA,Delaware,Sharon Hill,19079,42045,1110 Spring St, 
Dickinson County Sheriff's Office,9,Sheriff's office,IA,Dickinson,Spirit Lake,51360,19059,Po Box 214,Courthouse
Buena Vista County Sheriff's Office,9,Sheriff's office,IA,Buena Vista,Storm Lake,50588,19021,P.O. Box 276,411 Expansion Blvd.
Biscoe Police Department,9,Local police department,NC,Montgomery,Biscoe,27209,37123,Po Box 756, 
Monaca Borough Police Department,9,Local police department,PA,Beaver,Monaca,15061,42007,928 Pennsylvania Avenue, 
Jamestown Police Department,9,Local police department,TN,Fentress,Jamestown,38556,47049,P.O. Box 670, 
Paw Paw Police Department,9,Local police department,MI,Van Buren,Paw Paw,49079,26159,Post Office Box 35, 
Dublin Police Department,9,Local police department,VA,Pulaski,Dublin,24084,51155,Post Office Box 690, 
Ripley Police Department,9,Local police department,WV,Jackson,Ripley,25271,54035,205 South Morton Street, 
Rittman Police Department,9,Local police department,OH,Wayne,Rittman,44270,39169,33 East Ohio Avenue, 
Fort Belknap Tribal Police,9,Local police department,MT,Blaine,Harlem,59526,30005,Rr 1 Box 66, 
Johnson County Sheriff's Office,9,Sheriff's office,KY,Johnson,Paintsville,41240,21115,230 DONOVAN-HARRISON RD, 
Chouteau County Sheriff's Office,9,Sheriff's office,MT,Chouteau,Fort Benton,59442,30015,Po Box 459,1215 Washington
Murfreesboro Police Department,9,Local police department,NC,Hertford,Murfreesboro,27855,37091,302 S. Church St., 
Cooper County Sheriff's Office,9,Sheriff's office,MO,Cooper,Boonville,65233,29053,200 Main St Rm 3, 
Cannon Falls Police Department,9,Local police department,MN,Goodhue,Cannon Falls,55009,27049,918 River Road, 
Capitol Heights Police Department,9,Local police department,MD,Prince Georges,Capitol Heights,20743,24033,401 Capitol Heights Blvd., 
Westminster Police Department,9,Local police department,SC,Oconee,Westminster,29693,45073,"P.O. Box 300, 36 Locust St.", 
Bacon County Sheriff's Office,9,Sheriff's office,GA,Bacon,Alma,31510,13005,Po Box 237, 
Little River County Sheriff's Office,9,Sheriff's office,AR,Little River,Ashdown,71822,5081,351 N 2Nd St,Ste #2
Wolfforth Police Department,9,Local police department,TX,Lubbock,Wolfforth,79382,48303,P.O. Box 36, 
Platte County Sheriff's Office,9,Sheriff's office,WY,Platte,Wheatland,82201,56031,2610 14Th St, 
West View Borough Police Department,9,Local police department,PA,Allegheny,Pittsburgh,15229,42003,441 Perry Highway, 
Sewickley Borough Police Department,9,Local police department,PA,Allegheny,Sewickley,15143,42003,601 Thorn St, 
Adams County Sheriff's Office,9,Sheriff's office,PA,Adams,Gettysburg,17325,42001,313 S 1St St,PO Box 608
Ohio County Sheriff's Office,9,Sheriff's office,IN,Ohio,Rising Sun,47040,18115,Po Box 186, 
Lowell Police Department,9,Local police department,NC,Gaston,Lowell,28098,37071,50 Arcand Dr, 
Spring Lake - Ferrysburg Police Department,9,Local police department,MI,Ottawa,Spring Lake,49456,26139,102 W Savidge St, 
Dewey Police Department,9,Local police department,OK,Washington,Dewey,74029,40147,409 E. Don Tyler, 
Grantsville Police Department,9,Local police department,UT,Tooele,Grantsville,84029,49045,Post Office Box 146, 
Winnsboro Police Department,9,Local police department,TX,Wood,Winnsboro,75494,48499,501 South Main St., 
Castro County Sheriff's Office,9,Sheriff's office,TX,Castro,Dimmitt,79027,48069,"100 E Bedford St, Rm 113", 
Prospect Police Department,9,Local police department,KY,Jefferson,Prospect,40059,21111,P.O. Box 1, 
New Brighton Borough Police Department,9,Local police department,PA,Beaver,New Brighton,15066,42007,610 Third Ave, 
West Hennepin Public Safety Dept,9,Local police department,MN,Hennepin,Maple Plain,55359,27053,1918 Co. Road 90, 
Box Elder Police Department,9,Local police department,SD,Pennington,Box Elder,57719,46103,504 N. Ellsworth Road, 
Jonesboro Police Department,9,Local police department,LA,Jackson,Jonesboro,71251,22049,100 4Th St., 
Palmer Police Department,9,Local police department,TX,Ellis,Palmer,75152,48139,4417 MAIN ST, 
Vermillion County Sheriff's Office,9,Sheriff's office,IN,Vermillion,Newport,47966,18165,Po Box 130,1888 S SR 63
Cadiz Police Department,9,Local police department,KY,Trigg,Cadiz,42211,21221,128 Court Street, 
Thurmont Police Department,9,Local police department,MD,Frederick,Thurmont,21788,24021,10 Frederick Rd, 
Ruleville Police Department,9,Local police department,MS,Sunflower,Ruleville,38771,28133,Post Office Box 428, 
Progreso Police Department,9,Local police department,TX,Hidalgo,Progreso,78579,48215,P. O. Box 699, 
Ligonier Police,9,Local police department,IN,Noble,Ligonier,46767,18113,301 S. Cavin St., 
Mount Carmel Borough Police Department,9,Local police department,PA,Northumberland,Mount Carmel,17851,42097,137 W 4Th Street Suite 1, 
Cleburne County Sheriff's Office,9,Sheriff's office,AL,Cleburne,Heflin,36264,1029,914 S 9Th St, 
Kirtland Hills Police Department,9,Local police department,OH,Lake,Kirtland Hills,44060,39085,8026 Chillicothe Rd, 
Wakefield Police Department,9,Local police department,NH,Carroll,Wakefield,3872,33003,Po Box 326, 
Fountain Hill Borough Police Department,9,Local police department,PA,Lehigh,Fountain Hill,18015,42077,941 Long St, 
Whitehouse Police Department,9,Local police department,OH,Lucas,Whitehouse,43571,39095,P.O. Box 2476,6925 Providence Street
Southern Regional Police Department (Lancaster Co.),9,Local police department,PA,Lancaster,Conestoga,17516,42071,3284 Main Street,P.O. Box 254
La Center Police Department,9,Local police department,WA,Clark,La Center,98629,53011,P.O. Box 420, 
Kirtland Police Department,9,Local police department,OH,Lake,Kirtland,44094,39085,9301 Chillicothe Rd, 
Dresden Police Department,9,Local police department,TN,Weakley,Dresden,38225,47183,904 Chestnut Street,P.O. Box 539
Ashburnham Police Department,9,Local police department,MA,Worcester,Ashburnham,1430,25027,99 Central Street, 
Lexington Police Department,9,Local police department,MO,Lafayette,Lexington,64067,29107,1575 Massachusetts Avenue, 
North Middleton Township Police Department,9,Local police department,PA,Cumberland,Carlisle,17013,42041,2051 Spring Road, 
Milton Police Department,9,Local police department,WI,Rock,Milton,53563,55105,7 Town House Road, 
Grifton Police Department,9,Local police department,NC,Pitt,Grifton,28530,37147,Po Box 579, 
Bratenahl Police Department,9,Local police department,OH,Cuyahoga,Bratenahl,44108,39035,411 Bratenahl Road, 
Nephi Police Department,9,Local police department,UT,Juab,Nephi,84648,49023,42 East 200 North, 
Eastland County Sheriff's Office,9,Sheriff's office,TX,Eastland,Eastland,76448,48133,201 W. White St., 
Iowa Tribal Police Department,9,Local police department,KS,Brown,White Cloud,66094,20013,Rt. 1 Box 722, 
St. Clair Police Department,9,Local police department,MI,St. Clair,Saint Clair,48079,26147,547 North Carney Dr, 
Bar Harbor Police Department,9,Local police department,ME,Hancock,Bar Harbor,4609,23009,37 Firefly Lane, 
Wilmore Police Department,9,Local police department,KY,Jessamine,Wilmore,40390,21113,335 E. Main St., 
Lakewood-Busti Police Department,9,Local police department,NY,Chautauqua,Lakewood,14750,36013,20 West Summit Avenue, 
Swarthmore Borough Police Department,9,Local police department,PA,Delaware,Swarthmore,19081,42045,121 Park Ave, 
Milton Borough Police Department,9,Local police department,PA,Northumberland,Milton,17847,42097,1 Filbert Street, 
Yellow Springs Police Department,9,Local police department,OH,Greene,Yellow Springs,45387,39057,100 Dayton Street, 
West Pottsgrove Township Police Department,9,Local police department,PA,Montgomery,Pottstown,19464,42091,980 Grosstown Rd, 
Jones County Sheriff's Office,9,Sheriff's office,NC,Jones,Trenton,28585,37103,Po Box 95, 
Alger County Sheriff's Office,9,Sheriff's office,MI,Alger,Munising,49862,26003,101 E Varnum St, 
Union City Police,9,Local police department,IN,Randolph,Union City,47390,18135,3715 Palisade Avenue, 
Clark County Sheriff's Office,9,Sheriff's office,IL,Clark,Marshall,62441,17023,Po Box 296, 
Lyon County Sheriff's Office,9,Sheriff's office,IA,Lyon,Rock Rapids,51246,19119,30 Nevin Way, 
Carrollton Police Department,9,Local police department,KY,Carroll,Carrollton,41008,21041,206 W. Washington Ave, 
Larned Police Department,9,Local police department,KS,Pawnee,Larned,67550,20145,Po Box 110, 
Harvey Cedars Police,9,Local police department,NJ,Ocean,Harvey Cedars,8008,34029,7606 Long Beach Boulevard, 
Granville Police Department,9,Local police department,OH,Licking,Granville,43023,39089,707 Main Rd, 
Mahaska County Sheriff's Office,9,Sheriff's office,IA,Mahaska,Oskaloosa,52577,19123,214 High Ave, 
Clinton Police,9,Local police department,NJ,Hunterdon,Clinton,8809,34019,259 Vine Street, 
Smith County Sheriff's Office,9,Sheriff's office,MS,Smith,Raleigh,39153,28129,217 S Jefferson St, 
Bad Axe Police Department,9,Local police department,MI,Huron,Bad Axe,48413,26063,100 South Hanselman, 
Allenhurst Borough Police,9,Local police department,NJ,Monmouth,Allenhurst,7711,34025,125 Corlies Avenue, 
Evansville Police Dept,9,Local police department,WY,Natrona,Evansville,82636,56025,Drawer 158, 
Camp Hill Borough Police Department,9,Local police department,PA,Cumberland,Camp Hill,17011,42041,2199 Walnut Street, 
Sharon Township Police Department,9,Local police department,OH,Franklin,Columbus,43235,39049,"7760 Olentangy River Road, Suite 112", 
Castroville Police Department,9,Local police department,TX,Medina,Castroville,78009,48325,411 London Street, 
Mercer County Sheriff's Office,9,Sheriff's office,KY,Mercer,Harrodsburg,40330,21167,906 Sw 3Rd St, 
Syracuse Police,9,Local police department,IN,Kosciusko,Syracuse,46567,18085,310 N. Huntington Street, 
Pleasant Valley Police Department,9,Local police department,MO,Clay,Pleasant Valley,64068,29047,6502 Royal Street, 
Harrisville Police Department,9,Local police department,UT,Weber,Harrisville,84404,49057,Po Box 227, 
Holland Police Department,9,Local police department,OH,Lucas,Holland,43528,39095,89 W 8Th St, 
Philomath Police Department,9,Local police department,OR,Benton,Philomath,97370,41003,Po Box 400, 
Madison County Sheriff's Office,9,Sheriff's office,AR,Madison,Huntsville,72740,5087,405 Randle St, 
Locust Police Department,9,Local police department,NC,Stanly,Locust,28097,37167,Po Box 190, 
Minocqua Police Department,9,Local police department,WI,Oneida,Minocqua,54548,55085,418 East Chicago Avenue,P.O. Box 346
Scurry County Sheriff's Office,9,Sheriff's office,TX,Scurry,Snyder,79549,48415,1300 26Th St, 
Macon County Sheriff's Office,9,Sheriff's office,GA,Macon,Oglethorpe,31068,13193,1820 Lakeside Dr, 
Zeeland Police Department,9,Local police department,MI,Ottawa,Zeeland,49464,26139,29 West Main, 
Butler County Sheriff's Office,9,Sheriff's office,AL,Butler,Greenville,36037,1013,Po Box 345,428 Sixth St
Bowling Green Police Department,9,Local police department,MO,Pike,Bowling Green,63334,29163,P.O. Box 468, 
Greenwood Police Department,9,Local police department,LA,Caddo,Greenwood,71033,22017,709 W Main Street, 
West York Borough Police Department,9,Local police department,PA,York,York,17404,42133,1700 W Philadelphia Street, 
Carroll County Sheriff's Office,9,Sheriff's office,IL,Carroll,Mount Carroll,61053,17015,Po Box 291, 
Harrah Police Department,9,Local police department,OK,Oklahoma,Harrah,73045,40109,1093 N. Harrah Road, 
La Grange Police Department,9,Local police department,TX,Fayette,La Grange,78945,48149,410 W. Jefferson St., 
Columbia Falls Police Department,9,Local police department,MT,Flathead,Columbia Falls,59912,30029,130 Sixth St West A, 
Woodward County Sheriff's Office,9,Sheriff's office,OK,Woodward,Woodward,73801,40153,1600 Main St Ste 1, 
Winthrop Police Department,9,Local police department,ME,Kennebec,Winthrop,4364,23011,3 Metcalf Sq, 
Sidney Village Police Department,9,Local police department,NY,Delaware,Sidney,13838,36025,21 Liberty Street, 
Salem Police Department,9,Local police department,UT,Utah,Salem,84653,49049,5 Park Avenue, 
Imlay City Police Department,9,Local police department,MI,Lapeer,Imlay City,48444,26087,335 E. 3rd St., 
Delanco Township Police,9,Local police department,NJ,Burlington,Delanco,8075,34005,770 Coopertown Road, 
Buckhannon Police Department,9,Local police department,WV,Upshur,Buckhannon,26201,54097,70 East Main Street, 
Rose Hill Police Department,9,Local police department,KS,Butler,Rose Hill,67133,20015,Po Box 9, 
Baxter Springs Police Department,9,Local police department,KS,Cherokee,Baxter Springs,66713,20021,Po Box 577, 
Ossipee Police Department,9,Local police department,NH,Carroll,Ctr. Ossipee,3814,33003,Po Box 307, 
Brookfield Township Police Department,9,Local police department,OH,Trumbull,Brookfield,44403,39155,655 North Janacek Road, 
Rye Police Department,9,Local police department,NH,Rockingham,Rye,3870,33015,21 Mccullough Place, 
Honesdale Borough Police Department,9,Local police department,PA,Wayne,Honesdale,18431,42127,962 Main St, 
Wheatland Police Dept,9,Local police department,WY,Platte,Wheatland,82201,56031,951 Water, 
Sanders County Sheriff's Office,9,Sheriff's office,MT,Sanders,Thompson Falls,59873,30089,Po Box 910,1115 Main
Mount Shasta Police Department,9,Local police department,CA,Siskiyou,Mount Shasta,96067,6093,303 N. Mt. Shasta Boulevard, 
Penn State University - Altoona Police,9,Special jurisdiction,PA,Blair,Altoona,16601,42013,3000 Ivyside Park, 
Arcade Police Department,9,Local police department,GA,Jackson,Jefferson,30549,13157,P.O. Box 417, 
Lake Village Police Department,9,Local police department,AR,Chicot,Lake Village,71653,5017,P.O. Box 725, 
University of South Dakota Dept of Public Safety,9,Special jurisdiction,SD,Clay,Vermillion,57069,46027,414 E. Clark Street, 
New Boston Police Department,9,Local police department,TX,Bowie,New Boston,75570,48037,Po Box 338,116 Old Coach Road
Berthoud Police Department,9,Local police department,CO,Larimer,Berthoud,80513,8069,P O Box 1229, 
Baldwin Police Department,9,Local police department,GA,Habersham,Baldwin,30511,13137,400 Cedar Street,P.O. Box 117
McGehee Police Department,9,Local police department,AR,Desha,Mcgehee,71654,5041,P.O. Box 135, 
American Falls Police Department,9,Local police department,ID,Power,American Falls,83211,16077,540 N Oregon Trail, 
Angels Camp Police Department,9,Local police department,CA,Calaveras,Angels Camp,95222,6009,P.O. Box 459, 
Van Buren County Sheriff's Office,9,Sheriff's office,TN,Van Buren,Spencer,38585,47175,Po Box 474,907 Broad St
Albany Code Enforcement Department,9,Local police department,GA,Dougherty,Albany,31702,13095,Suite 300,240 Pine Ave.
Portageville Police Department,9,Local police department,MO,New Madrid,Portageville,63873,29143,201 E Main St, 
Pea Ridge Police Department,9,Local police department,AR,Benton,Pea Ridge,72751,5007,P.O. Box 10, 
Ozark Police Department,9,Local police department,AR,Franklin,Ozark,72949,5047,201 E Brick, 
Kansas City Kansas Community College Campus Police,9,Special jurisdiction,KS,Wyandotte,Kansas City,66112,20209,Po Box 12951, 
"Minnesota Dept of Commerce, Div. of Insurance Fraud Prevention",9,Special jurisdiction,MN,Ramsey,St. Paul,55101,27123,Suite 500,85 7th Place East
Pagosa Springs Police Department,9,Local police department,CO,Archuleta,Pagosa Springs,81147,8007,P O Box 1859, 
Searcy Hospital Police,9,Special jurisdiction,AL,Mobile,Mt. Vernon,36560,1097,P.O. Box 1090,725 E. Coy Smith Hwy
Grayson County Sheriff's Office,9,Sheriff's office,KY,Grayson,Leitchfield,42754,21085,200 S Crockett St, 
York County Sheriff's Office,9,Sheriff's office,NE,York,York,68467,31185,1675-2A York Hwy, 
Geneva County Sheriff's Office,9,Sheriff's office,AL,Geneva,Geneva,36340,1061,Po Box 115, 
Halls Police Department,9,Local police department,TN,Lauderdale,Halls,38040,47097,102 N. Front St., 
Clarinda Police Department,9,Local police department,IA,Page,Clarinda,51632,19145,200 S 15Th St, 
Taliaferro County Sheriff's Office,9,Sheriff's office,GA,Taliaferro,Crawfordville,30631,13265,113 Monument St Se,PO Box 97
Bushnell Department of Public Safety,9,Local police department,FL,Sumter,Bushnell,33513,12119,Post Office Box 115, 
Alpine Police Department,9,Local police department,TX,Brewster,Alpine,79830,48043,Po Box 3070, 
Kotzebue Police Dept.,9,Local police department,AK,Northwest Arctic,Kotzebue,99752,2188,258B Third Avenue,P O Box 46
Beardstown Police Dept,9,Local police department,IL,Cass,Beardstown,62618,17017,418 East Main,P.O. Box 467
Waterford Town Police Department,9,Local police department,NY,Saratoga,Waterford,12188,36091,65 Broad Street, 
Burlington Police Department,9,Local police department,CO,Kit Carson,Burlington,80807,8063,"311 Cedar Street, Suite B", 
Glenwood Police Department,9,Local police department,IA,Mills,Glenwood,51534,19129,210 North 2Nd Street, 
Sylvania Police Department,9,Local police department,GA,Screven,Sylvania,30467,13251,6635 Maplewood Ave, 
Bethany Beach Police Department,9,Local police department,DE,Sussex,Bethany Beach,19930,10005,Po Box 109 / 214 Garfield Parkway, 
Hamilton County Sheriff's Office,9,Sheriff's office,IA,Hamilton,Webster City,50595,19079,Po Box 764,103 West Ave C
Black Mountain Center - NC Dept of Health and Human Services Police,9,Special jurisdiction,NC,Buncombe,Black Mountain,28711,37021,201 Tabernacle Rd., 
Midwestern State University Police Dept.,9,Special jurisdiction,TX,Wichita,Wichita Falls,76308,48485,3410 Taft Blvd., 
Parker Police Department,9,Local police department,FL,Bay,Parker,32404,12005,Box 350, 
Beecher Police Dept,9,Local police department,IL,Will,Beecher,60401,17197,724 Penfield St,P. O. Box 1114
Hanceville Police Department,9,Local police department,AL,Cullman,Hanceville,35077,1043,203 Bangor Avenue Southeast, 
Mount Horeb Police Department,9,Local police department,WI,Dane,Mount Horeb,53572,55025,222 East Front Street, 
Colebrookdale District Police,9,Local police department,PA,Berks,Boyertown,19512,42011,765 W Philadelphia Ave, 
Havana Police Dept,9,Local police department,IL,Mason,Havana,62644,17125,226 W Market, 
Harpersville Police Department,9,Local police department,AL,Shelby,Harpersville,35078,1117,Post Office Box 370, 
Harlingen International Airport Police,9,Special jurisdiction,TX,Cameron,Harlingen,78550,48061,3002 Airline Drive, 
Waldron Police Department,9,Local police department,AR,Scott,Waldron,72958,5127,P.O. Box 310, 
Coahoma Community College Police Department,9,Special jurisdiction,MS,Coahoma,Clarksdale,38614,28027,3240 Friars Point Road, 
SUNY Institute of Technology at Utica/Rome Police,9,Special jurisdiction,NY,Oneida,Utica,13504,36065,Marcy Campus,P.O. Box 3050
Jones County Sheriff's Office,9,Sheriff's office,TX,Jones,Anson,79501,48253,Po Box 95, 
Grantville Police Department,9,Local police department,GA,Coweta,Grantville,30220,13077,Post Office Box 519, 
Montgomery County Sheriff's Office,9,Sheriff's office,AR,Montgomery,Mount Ida,71957,5097,Po Box 432,200 Clark Dr
Miracosta College Police,9,Special jurisdiction,CA,San Diego,Oceanside,92056,6073,1 Barnard Dr, 
Eutaw Police Department,9,Local police department,AL,Greene,Eutaw,35462,1063,Post Office Box 431, 
Lehigh-Northampton Airport Authority Police Dept,9,Special jurisdiction,PA,Lehigh,Allentown,18109,42077,3311 Airport Road, 
Centre Police Department,9,Local police department,AL,Cherokee,Centre,35960,1019,401 East Main Street, 
Weber State University Police Dept,9,Special jurisdiction,UT,Weber,Ogden,84408,49057,3003 University Circle, 
Nueces County Constable Pct. 2,9,Constable/marshal,TX,Nueces,Corpus Christi,78418,48355,10110 Compton Rd., 
Elburn Police Dept,9,Local police department,IL,Kane,Elburn,60119,17089,301 E North Street, 
Custer County Sheriff's Office,9,Sheriff's office,CO,Custer,Westcliffe,81252,8027,Po Box 344,801 B Main St
Donalsonville Police Dept.,9,Local police department,GA,Seminole,Donalsonville,31745,13253,P.O. Box 432, 
North Park Police Department,9,Local police department,UT,Cache,North Logan,84341,49005,2005 North 1200 East, 
Higginsville Police Department,9,Local police department,MO,Lafayette,Higginsville,64037,29107,1922 Main St   Po Box 110, 
Lehighton Borough Police Department,9,Local police department,PA,Carbon,Lehighton,18235,42025,P.O. Box 29,Munc Bldg-Constitution Av
McIntosh Police Department,9,Local police department,AL,Washington,McIntosh,36553,1129,Po Box 416,212 Main
Gravette Police Department,9,Local police department,AR,Benton,Gravette,72736,5007,P. O. Box  210, 
Harrington Police Department,9,Local police department,DE,Kent,Harrington,19952,10001,10 Mechanic Street, 
South Palm Beach Public Safety Department,9,Local police department,FL,Palm Beach,South Palm Beach,33480,12099,3577 South Ocean Blvd., 
Winters Police Department,9,Local police department,CA,Yolo,Winters,95694,6113,312 S. Main, 
Barling Police Department,9,Local police department,AR,Sebastian,Barling,72923,5131,Po Box 23039, 
Eagle Police Department,9,Local police department,CO,Eagle,Eagle,81631,8037,Po Box 248,121 E. Main Street
Cripple Creek Police Department,9,Local police department,CO,Teller,Cripple Creek,80813,8119,P O Box 1687, 
Fleming County Sheriff's Office,9,Sheriff's office,KY,Fleming,Flemingsburg,41041,21069,115 W Main St, 
Davenport Police Department,9,Local police department,FL,Polk,Davenport,33836,12105,P. O. Box 279, 
St. Louis Community College - Florissant Valley Police,9,Special jurisdiction,MO,St. Louis,Ferguson,63135,29189,3400 Pershall Road, 
Stanley Police Department,9,Local police department,NC,Gaston,Stanley,28164,37071,Po Box 249, 
Floyd County Sheriff's Office,9,Sheriff's office,KY,Floyd,Prestonsburg,41653,21071,2526 New Calhoun Hwy, 
Mountain View Police Department,9,Local police department,AR,Stone,Mountain View,72560,5137,114 South 2Nd Street, 
Watonwan County Sheriff's Office,9,Sheriff's office,MN,Watonwan,Saint James,56081,27165,715 3Rd Ave S,PO Box 168
St. Louis Community College - Forest Park Police,9,Special jurisdiction,MO,St. Louis,St. Louis,63100,29189,5600 Oakland Avenue, 
Baldwin Park Unified School District Police,9,Special jurisdiction,CA,Los Angeles,Baldwin Park,91706,6037,3699 N. Holly Ave, 
Manchester Police Department,9,Local police department,IA,Delaware,Manchester,52057,19055,"3215 Long Lane, P.O.Box 830", 
Dundee Police Department,9,Local police department,FL,Polk,Dundee,33838,12105,Post Office Box 1000, 
Miliken Police Department,9,Local police department,CO,Weld,Milliken,80543,8123,1109 Broad Street,PO Box 286
Grambling State University Police Dept.,9,Special jurisdiction,LA,Lincoln,Grambling,71245,22061,Po Box 117, 
Windsor Police Department,9,Local police department,NC,Bertie,Windsor,27983,37015,P.O. Box 47, 
Crook County Sheriff's Office,9,Sheriff's office,WY,Crook,Sundance,82729,56011,308 Ne 2Nd St, 
Tarrant County Constable Pct. 7,9,Constable/marshal,TX,Tarrant,Mansfield,76063,48439,1100 Broad St, 
Broadwater County Sheriff's Office,9,Sheriff's office,MT,Broadwater,Townsend,59644,30007,519 Broadway St, 
San Bernardino Valley College,9,Special jurisdiction,CA,San Bernardino,San Bernardino,92410,6071,701 S. Mount Vernon Ave,CC 105
Macon Police Department,9,Local police department,MS,Noxubee,Macon,39341,28103,301 E Bourke Street, 
St. Louis Community College - Meramac Police,9,Special jurisdiction,MO,St. Louis,Kirkwood,63122,29189,11333 Big Bend Blvd, 
Langston University Police Department,9,Special jurisdiction,OK,Logan,"Langston,",73050,40083,Campus P.D.  P.O. Box 718, 
Forest City Police Department,9,Local police department,IA,Winnebago,Forest City,50436,19189,187 South Church Street, 
Nevada City Police Department,9,Local police department,CA,Nevada,Nevada City,95959,6057,317 Broad Street, 
Lambertville Police,9,Local police department,NJ,Hunterdon,Lambertville,8530,34019,349 North Main Street, 
Williamson County Constable Pct. 4,9,Constable/marshal,TX,Williamson,Taylor,76574,48491,2501 Mallard Lane, 
East Hazel Crest Police Dept,9,Local police department,IL,Cook,East Hazel Crest,60429,17031,17223 S Throop St, 
Arkansas Tech University Dept of Public Safety,9,Special jurisdiction,AR,Pope,Russellville,72801,5115,1511 North Boulder, 
Gosnell Police Department,9,Local police department,AR,Mississippi,Gosnell,72315,5093,307 S. Airbase Highway, 
Chattahoochee Police Department,9,Local police department,FL,Gadsden,Chattahoochee,32324,12039,32 Jefferson Street, 
Telluride Marshal's Office,9,Local police department,CO,San Miguel,Telluride,81435,8113,134 S. Spruce Street, 
Pondera County Sheriff's Office,9,Sheriff's office,MT,Pondera,Conrad,59425,30073,20 4Th Ave Sw,Ste 109
Tarrant County Constable Pct. 3,9,Constable/marshal,TX,Tarrant,Hurst,76054,48439,Tarrant Co Gov'T Complex,645 Grapevine Highway
University of Montevallo Police Department,9,Special jurisdiction,AL,Shelby,Montevallo,35115,1117,Station 6155, 
Eagar Police Department,9,Local police department,AZ,Apache,Eagar,85925,4001,P. O. Box 1300, 
Woodbury Police Department,9,Local police department,CT,Litchfield,Woodbury,6798,9005,965 West Main Street, 
Blue Ridge Police Department,9,Local police department,GA,Fannin,Blue Ridge,30513,13111,3101 East First Street, 
Gibson City Police Dept,9,Local police department,IL,Ford,Gibson City,60936,17053,109 East 8Th Street, 
Elgin Community College Police Dept,9,Special jurisdiction,IL,Kane,Elgin,60123,17089,1700 Spartan Drive, 
St. Paul Park Police Department,9,Local police department,MN,Washington,St. Paul Park,55071,27163,600 Portland Ave., 
Greenville-West Salem Borough Police Department,9,Local police department,PA,Mercer,Greenville,16125,42085,125 Main Street, 
Hidalgo County Constable Pct. 1,9,Constable/marshal,TX,Hidalgo,Weslaco,78596,48215,"1902 Joe Stephens, Suite 303", 
Greenville Technical College Public Safety,9,Special jurisdiction,SC,Greenville,Greenville,29606,45045,P.O. Box 5616, 
Pasadena City College Police,9,Special jurisdiction,CA,Los Angeles,Pasadena,91106,6037,1570 E. Colorado Blvd, 
Swansboro Police Department,9,Local police department,NC,Onslow,Swansboro,28584,37133,502 Church Street, 
Chester Police Dept,9,Local police department,IL,Randolph,Chester,62233,17157,1330 Swanwick Street, 
Meramec College Police Dept.,9,Special jurisdiction,MO,St. Louis,Kirkwood,63122,29189,11333 Big Bend Blvd, 
