agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Montpelier Police Department,1,Local police department,LA,St. Helena,Montpelier,70422,22091,221 Empire Street, 
Nortonville Police Department,1,Local police department,KY,Hopkins,Nortonville,42442,21107,199 S. Main St., 
Kulm Police Department,1,Local police department,ND,LaMoure,Kulm,58456,38045,Po Box 332, 
Madison Township Police Department,1,Local police department,PA,Columbia,Millville,17846,42037,4567 Madison Lane, 
Centerville Police Department,1,Local police department,SD,Turner,Centerville,57014,46125,500 N. Houston Lake Blvd, 
Elmore Police Department,1,Local police department,MN,Faribault,Elmore,56027,27043,344 Rice Street, 
Jacksonville Police Department,1,Local police department,OH,Athens,Jacksonville,45740,39009,Po Drawer 436, 
New Summerfield Police Department,1,Local police department,TX,Cherokee,New Summerfield,75780,48073,P. O. Box 38, 
Frannie Police Department,1,Local police department,WY,Big Horn,Frannie,82423,56003,Po Box 127, 
Athens Police Department,1,Local police department,WV,Mercer,Athens,24712,54055,951 E Hobbs Street, 
Little River Police Department,1,Local police department,KS,Rice,Little River,67457,20159,Po Box 126, 
Maquon Police Dept,1,Local police department,IL,Knox,Maquon,61458,17095,Village Hall, 
Newman Police Dept.,1,Local police department,IL,Douglas,Newman,61942,17041,Town Hall, 
Hackensack Police Department,1,Local police department,MN,Cass,Hackensack,56452,27021,P.O. Box 490,CITY HALL
Alden Police Department,1,Local police department,MN,Freeborn,Alden,56009,27047,P.O. Box 325, 
Belmont Police Department,1,Local police department,WI,Lafayette,Belmont,53510,55065,Post Office Box 489, 
Newburg Police Department,1,Local police department,MO,Phelps,Newburg,65550,29161,"2Nd & Main - Drawer ""K""",PO Box K
Goshen Police Department,1,Local police department,NH,Sullivan,Goshen,3752,33019,Post Office Box 23, 
Newcastle Police Dept,1,Local police department,NE,Dixon,Newcastle,68757,31051,P.O. Box 282, 
Luzerne Township Police Department,1,Local police department,PA,Fayette,Brownsville,15417,42051,415 Hopewell Rd, 
McBee Police Department,1,Local police department,SC,Chesterfield,McBee,29101,45025,Po Box 177, 
Toledo Police Department,1,Local police department,WA,Lewis,Toledo,98591,53041,250 Nw Highway 20, 
Skellytown Police Department,1,Local police department,TX,Carson,Skellytown,79080,48065,P.O. Box 129, 
Greenville Police,1,Local police department,IN,Floyd,Greenville,47124,18043,9706 Clark Street,Post Office Box 424
Fordoche Police Department,1,Local police department,LA,Pointe Coupee,Fordoche,70732,22077,Po Box 10, 
Lula Police Department,1,Local police department,MS,Coahoma,Lula,38644,28027,Post Office Box 326, 
Caledonia Police Department,1,Local police department,MS,Lowndes,Caledonia,39740,28087,6900 Nicholson Road, 
Perry Police Department,1,Local police department,MO,Ralls,Perry,63462,29173,312 N. 8Th, 
Apple Creek Police Department,1,Local police department,OH,Wayne,Apple Creek,44606,39169,63 East Main Street,P.O. Box 208
Pine Creek Township Police Department,1,Local police department,PA,Clinton,Avis,17721,42035,P.O. Box 596,Municipal Drive
Lefors Marshal's Office,1,Constable/marshal,TX,Gray,Lefors,79054,48179,P. O. Box 383, 
Reedsville Police Department,1,Local police department,WI,Manitowoc,Reedsville,54230,55071,217 Menasha Street,P.O. Box 220
Paducah Police Department,1,Local police department,TX,Cottle,Paducah,79248,48101,P.O. Box 2267, 
Lincolnville Police Department,1,Local police department,ME,Waldo,Lincolnville,4849,23027,493 Hope Road, 
Cruger Police Department,1,Local police department,MS,Holmes,Cruger,38924,28051,Post Office Box 214, 
